"Wall_Clock_seconds","h.m.s","max_rss","max_vms","max_uss","max_pss","io_in","io_out","mean_load","cpu_time","Threads","Run","Sample"
2348.6581,"0:39:08",2674.37,6133.15,2657.4,2660.66,206.71,35448.3,526.57,13833.61,"8","unicycler","ATCC_33560"
271.1781,"0:04:31",2006.45,8993.51,1998.81,1999.38,494.64,1512.41,154.26,758.16,"16","dragonflye_hybrid","ATCC_BAA_679"
372.6844,"0:06:12",2363.75,8419.77,2290.5,2306.21,247.3,1499.2,192.06,1157.75,"8","dragonflye_hybrid","ATCC_BAA_679"
250.3138,"0:04:10",1930.12,8993.53,1923.16,1923.85,0,1368.21,167.63,743.82,"16","dragonflye_long","ATCC_BAA_679"
331.5462,"0:05:31",2361.85,8419.75,2289.49,2305.04,0,1360.69,191.63,772.33,"8","dragonflye_long","ATCC_BAA_679"
770.2079,"0:12:50",2963.15,27627.57,2936.32,2942.84,19.3,12998.87,98.73,1793.23,"16","hybracter_hybrid","ATCC_BAA_679"
1045.8019,"0:17:25",3145.14,26726.59,3098.53,3112.77,3.45,12904.36,100.78,1940.46,"8","hybracter_hybrid","ATCC_BAA_679"
471.0973,"0:07:51",2844.19,5194.69,2814.91,2822.33,0.07,5127.26,169.25,1330.41,"16","hybracter_long","ATCC_BAA_679"
737.6387,"0:12:17",2478.52,7284.2,2377.73,2402.54,0.06,5097.91,170.63,1998.95,"8","hybracter_long","ATCC_BAA_679"
2085.7968,"0:34:45",4196.64,13164.82,4181.08,4186.06,0,67923.16,942.42,21885.71,"16","unicycler","ATCC_BAA_679"
3436.8463,"0:57:16",4532.58,6822.14,4515.18,4519.01,354.09,72496.48,574.46,21774.45,"8","unicycler","ATCC_BAA_679"
335.8157,"0:05:35",3260.7,9040.2,3170.78,3187.08,0,2580.47,384.42,1983.03,"16","dragonflye_hybrid","H37R2"
479.2849,"0:07:59",3707.36,8466.42,3616.67,3633.85,0.01,3228.53,333.1,1964.35,"8","dragonflye_hybrid","H37R2"
301.9859,"0:05:01",3246.86,8976.2,3240.21,3240.87,0,1967.66,424.73,1917.31,"16","dragonflye_long","H37R2"
476.2334,"0:07:56",3750.41,8466.41,3658.12,3675.55,0,1975.25,364.82,2270.08,"8","dragonflye_long","H37R2"
1212.7709,"0:20:12",4008.36,58800.51,3901.85,3924.22,6.83,19624.98,168.77,3652.81,"16","hybracter_hybrid","H37R2"
1853.2344,"0:30:53",3986.76,27117.88,3867.54,3893.43,0.19,19823.25,219.04,5311.16,"8","hybracter_hybrid","H37R2"
816.6864,"0:13:36",4041.54,27782.32,3934.21,3956.83,1.07,4735.22,158.58,2028.56,"16","hybracter_long","H37R2"
1246.9605,"0:20:46",3712.89,27457.52,3594.76,3619.99,0.41,4751.12,227.11,3637.92,"8","hybracter_long","H37R2"
2917.1959,"0:48:37",6174.09,13559.39,6171.95,6172.07,0,50145.77,1163.41,37227.36,"16","unicycler","H37R2"
3980.532,"1:06:20",5814.37,6582.32,5809.39,5809.53,0.29,51142.01,645.25,27569.59,"8","unicycler","H37R2"
285.6436,"0:04:45",2266.5,8934.38,2205.19,2220.91,427,2216.25,256.99,1254.56,"16","dragonflye_hybrid","JKD6159_R10"
364.5073,"0:06:04",2079.8,8424.6,2066.23,2067.22,141.04,1480,214.04,1060.85,"8","dragonflye_hybrid","JKD6159_R10"
257.6434,"0:04:17",2293.88,8998.38,2233.71,2249.15,0.02,1302.31,460.06,1371.72,"16","dragonflye_long","JKD6159_R10"
389.0862,"0:06:29",2141.99,8424.62,2110.79,2111.97,0,1302.52,252.55,1195.5,"8","dragonflye_long","JKD6159_R10"
851.7766,"0:14:11",2650.03,14889.24,2620.68,2627.61,5.34,13862.16,134.78,1750.42,"16","hybracter_hybrid","JKD6159_R10"
1127.8851,"0:18:47",2309.35,7308.42,2222.59,2246.2,0.21,13982.66,140,2436.06,"8","hybracter_hybrid","JKD6159_R10"
