"Wall_Clock_seconds","h.m.s","max_rss","max_vms","max_uss","max_pss","io_in","io_out","mean_load","cpu_time","Threads","Run","Sample"
3325.122,"0:55:25",6238.42,13803.72,6223.89,6228.82,481.6,42701,1173.97,42320.04,"16","unicycler","Lerminiaux_isolateJ"
5796.1712,"1:36:36",4636.6,6571.66,4619.23,4623.05,337.69,44470.81,675.71,40580.79,"8","unicycler","Lerminiaux_isolateJ"
523.8496,"0:08:43",4041.5,9063.6,3928.57,3946.56,16.16,3303.48,353.17,2904.6,"16","dragonflye_hybrid","Lerminiaux_isolateK"
728.567,"0:12:08",4409.17,8489.82,4294.97,4314.62,15.27,3812.59,319.84,2682.4,"8","dragonflye_hybrid","Lerminiaux_isolateK"
483.5657,"0:08:03",3518.09,8999.58,3402.85,3421.39,518.4,2527.38,376.61,2671.89,"16","dragonflye_long","Lerminiaux_isolateK"
558.401,"0:09:18",4290.77,8489.8,4180.35,4198.55,16.3,2526.99,261.01,1964.49,"8","dragonflye_long","Lerminiaux_isolateK"
2013.3238,"0:33:33",4935.25,28755.02,4802.32,4827.84,627.8,28723.47,353.35,8821.28,"16","hybracter_hybrid","Lerminiaux_isolateK"
2599.6935,"0:43:19",4573.79,27411.45,4426.72,4456.08,0.28,28979.39,257.13,8677.6,"8","hybracter_hybrid","Lerminiaux_isolateK"
1524.4426,"0:25:24",4355.68,26393.23,4226.18,4250.12,0.09,7259.97,414.61,7592.07,"16","hybracter_long","Lerminiaux_isolateK"
1608.1273,"0:26:48",4607.1,24824.11,4463,4491.26,2.2,7268.87,348.87,6686.77,"8","hybracter_long","Lerminiaux_isolateK"
4620.1725,"1:17:00",6142.49,13570.93,6127.12,6132.26,402.99,49634.92,1251.7,60840.98,"16","unicycler","Lerminiaux_isolateK"
8340.9252,"2:19:00",4720.34,6850.86,4703.12,4706.92,847.8,51007.98,695.46,59653.09,"8","unicycler","Lerminiaux_isolateK"
452.694,"0:07:32",4153.8,9053.55,4138.14,4139.49,252.71,2800.77,458.16,2741.36,"16","dragonflye_hybrid","Lerminiaux_isolateL"
758.8276,"0:12:38",4030.18,8479.8,3920.05,3938.03,0,3162.96,399.86,3538.01,"8","dragonflye_hybrid","Lerminiaux_isolateL"
437.9083,"0:07:17",3883.88,8989.57,3774.15,3792.13,0,2523.96,512.78,2782.63,"16","dragonflye_long","Lerminiaux_isolateL"
676.0546,"0:11:16",3948.94,8479.79,3837.33,3855.45,0,2524.99,387.5,2871.62,"8","dragonflye_long","Lerminiaux_isolateL"
1604.32,"0:26:44",4172.04,28802.3,4142,4148.87,22.19,22149.46,521.68,9811.78,"16","hybracter_hybrid","Lerminiaux_isolateL"
2466.1363,"0:41:06",3975.71,24752.61,3835.92,3862.63,23.22,22023.62,387.37,11001.16,"8","hybracter_hybrid","Lerminiaux_isolateL"
1484.5284,"0:24:44",4200.54,25159.09,4171.48,4178.38,0.06,7964.91,641.2,10348.93,"16","hybracter_long","Lerminiaux_isolateL"
2612.5514,"0:43:32",4928.91,27493.61,4779.43,4810.45,0.04,8102.68,394.3,11423.33,"8","hybracter_long","Lerminiaux_isolateL"
4083.2004,"1:08:03",5279.07,13549.21,5263.01,5267.97,103.89,58364.35,1152.08,50018.63,"16","unicycler","Lerminiaux_isolateL"
7301.7433,"2:01:41",4726.7,6828.26,4709.23,4713.11,767.96,60101.78,651.98,49492.47,"8","unicycler","Lerminiaux_isolateL"
