"Wall_Clock_seconds","h.m.s","max_rss","max_vms","max_uss","max_pss","io_in","io_out","mean_load","cpu_time","Threads","Run","Sample","Logic"
157.2408,"0:02:37",1743.43,8433.41,1726.67,1728.32,0,800.54,11.49,204.18,"8","dragonflye_long","ATCC_33560_SUP_Simplex","Last"
378.9265,"0:06:18",6832.85,13640.62,6678.08,6685.53,0.04,6551.33,15.06,410.74,"16","hybracter_hybrid","ATCC_33560_SUP_Simplex","Last"
405.766,"0:06:45",4072.65,9434.8,4044.72,4051.98,2.85,6601.88,13.09,269.3,"8","hybracter_hybrid","ATCC_33560_SUP_Simplex","Last"
315.0281,"0:05:15",4811.05,11821.6,4707.17,4714.68,0,3988.27,16.93,307.84,"16","hybracter_long","ATCC_33560_SUP_Simplex","Last"
351.3204,"0:05:51",5050.67,10426.32,4959.05,4966.59,0,4042.09,13.79,250.16,"8","hybracter_long","ATCC_33560_SUP_Simplex","Last"
788.8048,"0:13:08",3804.38,13028.54,3788.16,3793.31,297.22,35466.66,550.46,5416.82,"16","unicycler","ATCC_33560_SUP_Simplex","Last"
1081.0056,"0:18:01",2619.29,5660.9,2604.09,2604.25,0,35448.02,382.17,5300.92,"8","unicycler","ATCC_33560_SUP_Simplex","Last"
169.4843,"0:02:49",1827.07,8937.32,1819.99,1820.67,0.16,2079.31,161.62,444.06,"16","dragonflye_hybrid","ATCC_BAA_679_SUP_Simplex","Last"
231.7356,"0:03:51",2114.26,8427.52,2105.78,2106.43,0,1842.8,59.45,448.13,"8","dragonflye_hybrid","ATCC_BAA_679_SUP_Simplex","Last"
156.8317,"0:02:36",1931.53,9001.32,1922.6,1923.36,0.7,1358.72,171.6,397.22,"16","dragonflye_long","ATCC_BAA_679_SUP_Simplex","Last"
217.0851,"0:03:37",1994.39,8427.52,1542.89,1544.51,0,1369.16,62.52,420.58,"8","dragonflye_long","ATCC_BAA_679_SUP_Simplex","Last"
518.6176,"0:08:38",5713.07,17835.34,5679.79,5687.37,1.53,12138.04,81.43,711.05,"16","hybracter_hybrid","ATCC_BAA_679_SUP_Simplex","Last"
598.2955,"0:09:58",5918.79,11282.14,5884.05,5891.67,0.22,12854.05,46.95,833.44,"8","hybracter_hybrid","ATCC_BAA_679_SUP_Simplex","Last"
412.3053,"0:06:52",7005.82,13961.42,6977.64,6985.17,0.86,5034.37,86.77,608.88,"16","hybracter_long","ATCC_BAA_679_SUP_Simplex","Last"
443.2838,"0:07:23",6009.96,12208.97,6403.74,6411.31,0.27,2404.55,51.09,510.23,"8","hybracter_long","ATCC_BAA_679_SUP_Simplex","Last"
1179.0556,"0:19:39",4013.38,13168.68,3998.29,4003.33,0.04,67923.05,667.34,10659.94,"16","unicycler","ATCC_BAA_679_SUP_Simplex","Last"
1716.8854,"0:28:36",4194.83,6645.29,4177.93,4183,0,72496.83,461.03,9871.86,"8","unicycler","ATCC_BAA_679_SUP_Simplex","Last"
211.9953,"0:03:31",2842.24,8983.99,2835.69,2836.32,0,2190.91,14.66,231.74,"16","dragonflye_hybrid","H37R2","Last"
278.112,"0:04:38",2840.46,8474.21,2832.36,2833.03,0,2189.19,76.98,643.78,"8","dragonflye_hybrid","H37R2","Last"
188.8105,"0:03:08",3004.57,9047.98,2996.18,2996.96,0,1971.51,16.89,242.93,"16","dragonflye_long","H37R2","Last"
250.4019,"0:04:10",2889.87,8474.21,2882.27,2883,0.02,1979.28,85.21,640.62,"8","dragonflye_long","H37R2","Last"
850.7728,"0:14:10",7550.61,15492.61,7372.55,7380.14,0.23,19550.09,230.72,2923.41,"16","hybracter_hybrid","H37R2","Last"
890.8132,"0:14:50",7387.5,13751.75,7280.19,7288,1.41,19549.91,98.93,1950.95,"8","hybracter_hybrid","H37R2","Last"
504.448,"0:08:24",7127.02,16923.39,6876.32,6884.03,0.11,5176.71,125.85,1066.79,"16","hybracter_long","H37R2","Last"
573.9558,"0:09:33",6937.32,13304.8,6908.83,6916.48,3.81,4733.56,77.52,939.47,"8","hybracter_long","H37R2","Last"
1484.7203,"0:24:44",6089.2,13563.24,6086.94,6087.12,0,50136.97,968.28,15864.15,"16","unicycler","H37R2","Last"
2182.4835,"0:36:22",5768.46,6337.22,5766.37,5766.54,0,51150.19,572.39,13949.49,"8","unicycler","H37R2","Last"
186.289,"0:03:06",2037.67,9006.15,2021.74,2023.17,0.11,1272.82,10.27,352.29,"16","dragonflye_hybrid","JKD6159_R10","Last"
224.7831,"0:03:44",1676.93,8432.39,1669.38,1670.18,0.01,1273.13,99.49,481.42,"8","dragonflye_hybrid","JKD6159_R10","Last"
169.5019,"0:02:49",2005.79,9006.16,1988.73,1990.31,0,1272.86,11.79,349.06,"16","dragonflye_long","JKD6159_R10","Last"
205.8616,"0:03:25",1547.25,8432.38,1539.29,1540.04,0,1273.3,108.66,481.79,"8","dragonflye_long","JKD6159_R10","Last"
542.6798,"0:09:02",5914.89,16650.92,5886.55,5894.14,0.34,13062.54,80.44,729.18,"16","hybracter_hybrid","JKD6159_R10","Last"
597.1582,"0:09:57",6058.33,11874.43,6030.77,6038.1,1.5,13043.63,50.28,679.69,"8","hybracter_hybrid","JKD6159_R10","Last"
432.9492,"0:07:12",5970.85,15347.9,5942.58,5950.19,0.14,3225.09,71.18,748.69,"16","hybracter_long","JKD6159_R10","Last"
480.7173,"0:08:00",6787.1,12121.53,6666.05,6673.64,0.13,3226.28,62.53,629.7,"8","hybracter_long","JKD6159_R10","Last"
994.1778,"0:16:34",3138.63,12013.81,3146.95,3147.13,0,31519.69,898.23,10404.66,"16","unicycler","JKD6159_R10","Last"
1525.3716,"0:25:25",4024.12,6574.74,4007.73,4012.83,0.03,31501.11,543.66,9065.33,"8","unicycler","JKD6159_R10","Last"
341.8661,"0:05:41",1688.84,9029.7,1679.18,1680.1,0,1324.54,161.63,1055.61,"16","dragonflye_hybrid","JKD6159_R9","Last"
425.8262,"0:07:05",1802.5,8456.05,1794.13,1794.83,0.02,1325.11,247.4,1379.82,"8","dragonflye_hybrid","JKD6159_R9","Last"
326.3232,"0:05:26",1706.85,9029.71,1699.57,1700.36,0.5,1324.3,163.62,1001.24,"16","dragonflye_long","JKD6159_R9","Last"
406.6554,"0:06:46",1753.33,8455.91,1745.78,1746.52,0,1325.11,258.99,1385.63,"8","dragonflye_long","JKD6159_R9","Last"
718.3557,"0:11:58",7324.71,59418.41,7108.08,7115.48,0.11,13302.12,96.67,1279.36,"16","hybracter_hybrid","JKD6159_R9","Last"
800.2115,"0:13:20",6240.97,11349.54,6212.4,6220.03,0.4,13294.46,111.81,1397.71,"8","hybracter_hybrid","JKD6159_R9","Last"
615.508,"0:10:15",6371.06,12966.08,6342.32,6349.99,0.85,3491.86,119.72,1184.18,"16","hybracter_long","JKD6159_R9","Last"
697.389,"0:11:37",6375.77,12081.95,7022.81,7030.39,0.37,3489.86,136.22,1165.44,"8","hybracter_long","JKD6159_R9","Last"
1202.8321,"0:20:02",4816.08,12013.81,4813.13,4813.31,246.31,32143.35,987.64,13335.39,"16","unicycler","JKD6159_R9","Last"
1884.9601,"0:31:24",4068.68,6574.74,4052.1,4057.21,0.03,32124.78,601.72,12169,"8","unicycler","JKD6159_R9","Last"
329.292,"0:05:29",1889.46,9073.39,1881.41,1882.03,0.01,2670.57,136.81,687.72,"16","dragonflye_hybrid","Lerminiaux_isolateA","Last"
