"Sample","Run","variable","value"
"55x","Dragonflye (hybrid)","SNVs",0
"55x","Dragonflye (hybrid)","Small InDels",0
"55x","Dragonflye (hybrid)","Large InDels",2
"55x","Dragonflye (long)","SNVs",67
"55x","Dragonflye (long)","Small InDels",52
"55x","Dragonflye (long)","Large InDels",2
"60x","Hybracter (hybrid)","SNVs",0
"60x","Hybracter (hybrid)","Small InDels",0
"60x","Hybracter (hybrid)","Large InDels",0
"60x","Hybracter (long)","SNVs",60
"60x","Hybracter (long)","Small InDels",14
"60x","Hybracter (long)","Large InDels",0
"60x","Unicycler","SNVs",62
"60x","Unicycler","Small InDels",14
"60x","Unicycler","Large InDels",1
"60x","Dragonflye (hybrid)","SNVs",0
"60x","Dragonflye (hybrid)","Small InDels",0
"60x","Dragonflye (hybrid)","Large InDels",3
"60x","Dragonflye (long)","SNVs",66
"60x","Dragonflye (long)","Small InDels",49
"60x","Dragonflye (long)","Large InDels",3
"65x","Hybracter (hybrid)","SNVs",0
"65x","Hybracter (hybrid)","Small InDels",0
"65x","Hybracter (hybrid)","Large InDels",0
"65x","Hybracter (long)","SNVs",56
"65x","Hybracter (long)","Small InDels",10
"65x","Hybracter (long)","Large InDels",0
"65x","Unicycler","SNVs",63
"65x","Unicycler","Small InDels",14
"65x","Unicycler","Large InDels",1
"65x","Dragonflye (hybrid)","SNVs",1
"65x","Dragonflye (hybrid)","Small InDels",0
"65x","Dragonflye (hybrid)","Large InDels",2
"65x","Dragonflye (long)","SNVs",61
"65x","Dragonflye (long)","Small InDels",58
"65x","Dragonflye (long)","Large InDels",2
"70x","Hybracter (hybrid)","SNVs",0
"70x","Hybracter (hybrid)","Small InDels",0
"70x","Hybracter (hybrid)","Large InDels",0
"70x","Hybracter (long)","SNVs",48
"70x","Hybracter (long)","Small InDels",12
"70x","Hybracter (long)","Large InDels",0
"70x","Unicycler","SNVs",62
"70x","Unicycler","Small InDels",14
"70x","Unicycler","Large InDels",1
"70x","Dragonflye (hybrid)","SNVs",0
"70x","Dragonflye (hybrid)","Small InDels",0
"70x","Dragonflye (hybrid)","Large InDels",2
"70x","Dragonflye (long)","SNVs",66
"70x","Dragonflye (long)","Small InDels",84
"70x","Dragonflye (long)","Large InDels",2
"75x","Hybracter (hybrid)","SNVs",0
"75x","Hybracter (hybrid)","Small InDels",0
"75x","Hybracter (hybrid)","Large InDels",0
"75x","Hybracter (long)","SNVs",49
"75x","Hybracter (long)","Small InDels",11
"75x","Hybracter (long)","Large InDels",0
"75x","Unicycler","SNVs",63
"75x","Unicycler","Small InDels",14
"75x","Unicycler","Large InDels",1
"75x","Dragonflye (hybrid)","SNVs",0
"75x","Dragonflye (hybrid)","Small InDels",0
"75x","Dragonflye (hybrid)","Large InDels",2
"75x","Dragonflye (long)","SNVs",70
"75x","Dragonflye (long)","Small InDels",84
"75x","Dragonflye (long)","Large InDels",2
"80x","Hybracter (hybrid)","SNVs",0
"80x","Hybracter (hybrid)","Small InDels",0
"80x","Hybracter (hybrid)","Large InDels",0
"80x","Hybracter (long)","SNVs",62
"80x","Hybracter (long)","Small InDels",12
"80x","Hybracter (long)","Large InDels",1
"80x","Unicycler","SNVs",63
"80x","Unicycler","Small InDels",14
"80x","Unicycler","Large InDels",1
"80x","Dragonflye (hybrid)","SNVs",1
"80x","Dragonflye (hybrid)","Small InDels",0
"80x","Dragonflye (hybrid)","Large InDels",2
"80x","Dragonflye (long)","SNVs",60
"80x","Dragonflye (long)","Small InDels",86
"80x","Dragonflye (long)","Large InDels",2
"85x","Hybracter (hybrid)","SNVs",0
"85x","Hybracter (hybrid)","Small InDels",0
"85x","Hybracter (hybrid)","Large InDels",0
"85x","Hybracter (long)","SNVs",60
"85x","Hybracter (long)","Small InDels",10
"85x","Hybracter (long)","Large InDels",0
"85x","Unicycler","SNVs",63
"85x","Unicycler","Small InDels",14
"85x","Unicycler","Large InDels",1
"85x","Dragonflye (hybrid)","SNVs",0
"85x","Dragonflye (hybrid)","Small InDels",0
"85x","Dragonflye (hybrid)","Large InDels",2
"85x","Dragonflye (long)","SNVs",58
"85x","Dragonflye (long)","Small InDels",83
"85x","Dragonflye (long)","Large InDels",2
"90x","Hybracter (hybrid)","SNVs",0
"90x","Hybracter (hybrid)","Small InDels",0
"90x","Hybracter (hybrid)","Large InDels",0
"90x","Hybracter (long)","SNVs",57
"90x","Hybracter (long)","Small InDels",12
"90x","Hybracter (long)","Large InDels",0
"90x","Unicycler","SNVs",63
"90x","Unicycler","Small InDels",14
